City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Fairbanks,US,2022-04-03 20:56:37,64.8378,-147.7164,23.23,60,100,1.01
153,Nikolskoye,RU,2022-04-03 20:59:45,59.7035,30.7861,30.79,96,35,3.33
154,Katsuura,JP,2022-04-03 20:59:45,35.1333,140.3,48.22,88,100,17.87
155,Saint George,US,2022-04-03 20:59:45,37.1041,-113.5841,76.78,21,100,4.0
156,Isiro,CD,2022-04-03 20:59:45,2.7739,27.616,66.31,99,55,1.83
157,Padang,ID,2022-04-03 20:59:46,-0.9492,100.3543,75.79,85,27,4.18
158,Sobolevo,RU,2022-04-03 20:59:46,54.4299,31.8996,25.09,89,100,6.64
159,Severo-Kurilsk,RU,2022-04-03 20:59:46,50.6789,156.125,32.31,86,23,11.45
160,Shambu,ET,2022-04-03 20:59:46,9.5667,37.1,61.86,42,91,2.44
161,Jamestown,US,2022-04-03 20:59:47,42.097,-79.2353,35.19,69,100,8.01
162,Tabuk,PH,2022-04-03 20:59:47,17.4189,121.4443,71.85,96,100,5.7
163,Bonthe,SL,2022-04-03 20:59:47,7.5264,-12.505,78.12,81,15,8.16
164,Tuatapere,NZ,2022-04-03 20:59:48,-46.1333,167.6833,50.56,85,77,3.11
165,Geraldton,AU,2022-04-03 20:59:48,-28.7667,114.6,72.01,83,100,16.11
166,Khatanga,RU,2022-04-03 20:59:48,71.9667,102.5,-31.04,100,99,3.47
167,Riyadh,SA,2022-04-03 20:54:53,24.6877,46.7219,77.14,12,91,4.97
168,Margate,GB,2022-04-03 20:59:48,51.3813,1.3862,42.69,63,71,1.99
169,Karratha,AU,2022-04-03 20:59:49,-20.7377,116.8463,80.24,70,0,9.64
170,Tuktoyaktuk,CA,2022-04-03 20:59:49,69.4541,-133.0374,-20.2,76,0,3.44
171,Kloulklubed,PW,2022-04-03 20:59:49,7.0419,134.2556,75.7,79,100,1.77
172,Kristiansund,NO,2022-04-03 20:59:49,63.1115,7.732,33.85,93,75,0.0
173,Lavrentiya,RU,2022-04-03 20:59:50,65.5833,-171.0,-6.41,86,17,11.74
174,Alofi,NU,2022-04-03 20:59:50,-19.0595,-169.9187,80.49,78,75,6.91
175,Jinchang,CN,2022-04-03 20:59:50,38.4953,102.1739,47.21,19,99,11.27
176,Alyangula,AU,2022-04-03 20:59:51,-13.8483,136.4192,71.47,100,40,4.61
177,Lesnoye,RU,2022-04-03 20:59:51,58.2841,35.5158,21.94,95,18,3.02
178,Saint Anthony,US,2022-04-03 20:59:51,45.0205,-93.218,39.13,84,100,11.5
179,Touros,BR,2022-04-03 20:59:51,-5.1989,-35.4608,77.97,87,99,10.6
180,Mangrol,IN,2022-04-03 21:00:52,21.1167,70.1167,77.25,78,0,10.85
181,Codrington,AU,2022-04-03 21:00:52,-38.2667,141.9667,58.17,84,100,4.97
182,Ancud,CL,2022-04-03 21:00:52,-41.8697,-73.8203,50.23,70,85,8.68
183,Gari,RU,2022-04-03 21:00:52,59.4307,62.3497,37.35,100,100,11.56
184,Brokopondo,SR,2022-04-03 21:00:53,4.75,-55.1667,78.44,89,39,6.35
185,San Matias,BO,2022-04-03 21:00:53,-16.3667,-58.4,85.35,67,14,3.94
186,Lujan,AR,2022-04-03 21:00:53,-34.5703,-59.105,66.94,89,95,1.01
187,Behbahan,IR,2022-04-03 21:00:54,30.5959,50.2417,76.66,19,93,3.13
188,Kavieng,PG,2022-04-03 21:00:54,-2.5744,150.7967,81.61,75,100,5.23
189,Kavaratti,IN,2022-04-03 21:00:54,10.5669,72.642,82.17,72,79,7.02
190,Hokitika,NZ,2022-04-03 21:00:54,-42.7167,170.9667,58.46,69,2,1.57
191,Capinzal,BR,2022-04-03 21:00:55,-27.3436,-51.6119,71.67,84,100,2.42
192,Sambava,MG,2022-04-03 21:00:55,-14.2667,50.1667,76.48,89,100,6.42
193,Amalfi,CO,2022-04-03 21:00:55,6.9102,-75.0776,69.82,81,97,2.15
